islay 0.1.0 - Othello/Reversi engine (movegen backend: hybrid (int+NEON))
type 'uci', 'go perft <depth> [nocache]', 'd', 'test', or 'quit'
info string pattern weights loaded: weights/v12.pat (v3, 15 stages x 167332)
info string option EvalFile = weights/v12.pat
stage,depth,score,standpat
9,7,1599,-258
9,8,1611,-258
9,9,1655,-258
9,10,1748,-258
9,11,2099,-258
9,12,2083,-258
7,1,1058,1123
7,2,1015,1123
7,3,1152,1123
7,4,920,1123
7,5,973,1123
7,6,10,1123
7,7,-6,1123
7,8,70,1123
7,9,-54,1123
7,10,-303,1123
7,11,-549,1123
7,12,-732,1123
5,1,-122,169
5,2,-22,169
5,3,-609,169
5,4,-409,169
5,5,-740,169
5,6,-649,169
5,7,-815,169
5,8,-735,169
5,9,-797,169
5,10,-762,169
5,11,-599,169
5,12,-590,169
7,1,-1695,-2605
7,2,-2420,-2605
7,3,-1790,-2605
7,4,-1934,-2605
7,5,-1818,-2605
7,6,-1680,-2605
7,7,-1547,-2605
7,8,-1451,-2605
7,9,-1684,-2605
7,10,-1588,-2605
7,11,-1600,-2605
7,12,-1718,-2605
5,1,3303,2418
5,2,3129,2418
5,3,3265,2418
5,4,2987,2418
5,5,3388,2418
5,6,3450,2418
5,7,3437,2418
5,8,3381,2418
5,9,3670,2418
5,10,3834,2418
5,11,4135,2418
5,12,4002,2418
2,1,157,-24
2,2,159,-24
2,3,96,-24
2,4,324,-24
2,5,287,-24
2,6,167,-24
2,7,-104,-24
2,8,-81,-24
2,9,-375,-24
2,10,-456,-24
2,11,-496,-24
2,12,-618,-24
1,1,-35,-315
1,2,-316,-315
1,3,-218,-315
1,4,-119,-315
1,5,-118,-315
1,6,181,-315
1,7,-68,-315
1,8,-42,-315
1,9,-27,-315
1,10,28,-315
1,11,-139,-315
1,12,37,-315
9,1,1336,975
9,2,877,975
9,3,1403,975
9,4,1351,975
9,5,1979,975
9,6,1826,975
9,7,1951,975
9,8,2073,975
9,9,2074,975
9,10,2064,975
9,11,2363,975
9,12,2175,975
9,1,1715,1112
9,2,1567,1112
9,3,1664,1112
9,4,1562,1112
9,5,1666,1112
9,6,1889,1112
9,7,1785,1112
9,8,2292,1112
9,9,2450,1112
9,10,2571,1112
9,11,2680,1112
9,12,2823,1112
11,1,2103,1513
11,2,1842,1513
11,3,2186,1513
11,4,2294,1513
11,5,2652,1513
11,6,2576,1513
11,7,2626,1513
11,8,2735,1513
11,9,2742,1513
11,10,2968,1513
11,11,3212,1513
11,12,3103,1513
11,1,1350,981
11,2,819,981
11,3,725,981
11,4,1082,981
11,5,1065,981
11,6,1260,981
11,7,826,981
11,8,673,981
11,9,795,981
11,10,1440,981
11,11,1013,981
11,12,974,981
5,1,588,377
5,2,508,377
5,3,172,377
5,4,227,377
5,5,126,377
5,6,186,377
5,7,23,377
5,8,64,377
5,9,35,377
5,10,96,377
5,11,12,377
5,12,-11,377
2,1,-947,-829
2,2,-535,-829
2,3,-263,-829
2,4,-185,-829
2,5,-504,-829
2,6,-586,-829
2,7,-578,-829
2,8,-101,-829
2,9,-329,-829
2,10,35,-829
2,11,-68,-829
2,12,54,-829
6,1,636,555
6,2,418,555
6,3,226,555
6,4,307,555
6,5,241,555
6,6,380,555
6,7,444,555
6,8,514,555
6,9,534,555
6,10,692,555
6,11,764,555
6,12,912,555
8,1,-979,-1087
8,2,-1437,-1087
8,3,-854,-1087
8,4,-458,-1087
8,5,-638,-1087
8,6,-789,-1087
8,7,-754,-1087
8,8,-585,-1087
8,9,-828,-1087
8,10,-375,-1087
8,11,-480,-1087
8,12,-306,-1087
7,1,681,90
7,2,608,90
7,3,1120,90
7,4,1273,90
7,5,1558,90
7,6,1525,90
7,7,1301,90
7,8,1433,90
7,9,1719,90
7,10,1626,90
7,11,1757,90
7,12,1868,90
4,1,-1802,-2202
4,2,-1888,-2202
4,3,-1874,-2202
4,4,-1781,-2202
4,5,-1655,-2202
4,6,-1693,-2202
4,7,-1567,-2202
4,8,-1681,-2202
4,9,-1370,-2202
4,10,-1476,-2202
4,11,-1474,-2202
4,12,-1391,-2202
4,1,2346,1964
4,2,2595,1964
4,3,2572,1964
4,4,2584,1964
4,5,2967,1964
4,6,2983,1964
4,7,2875,1964
4,8,2743,1964
4,9,2716,1964
4,10,2612,1964
4,11,2504,1964
4,12,2501,1964
9,1,-353,-850
9,2,-530,-850
9,3,206,-850
9,4,100,-850
9,5,306,-850
9,6,-248,-850
9,7,-35,-850
9,8,181,-850
9,9,92,-850
9,10,23,-850
9,11,42,-850
9,12,-119,-850
1,1,1450,1292
1,2,1685,1292
1,3,1402,1292
1,4,1114,1292
1,5,1058,1292
1,6,1138,1292
1,7,1146,1292
1,8,1095,1292
1,9,987,1292
1,10,1188,1292
1,11,693,1292
1,12,858,1292
11,1,-676,-1311
11,2,-502,-1311
11,3,-25,-1311
11,4,-317,-1311
11,5,-365,-1311
11,6,-528,-1311
11,7,-229,-1311
11,8,-420,-1311
11,9,-69,-1311
11,10,-311,-1311
11,11,-480,-1311
11,12,-296,-1311
2,1,2676,2384
2,2,2799,2384
2,3,2847,2384
2,4,2784,2384
2,5,2725,2384
2,6,2718,2384
2,7,2848,2384
2,8,2852,2384
2,9,2841,2384
2,10,2894,2384
2,11,2901,2384
2,12,3100,2384
1,1,315,63
1,2,-10,63
1,3,156,63
1,4,386,63
1,5,541,63
1,6,744,63
1,7,880,63
1,8,988,63
1,9,940,63
1,10,1020,63
1,11,1104,63
1,12,1158,63
1,1,541,265
1,2,608,265
1,3,596,265
1,4,418,265
1,5,329,265
1,6,431,265
1,7,355,265
1,8,390,265
1,9,245,265
1,10,541,265
1,11,323,265
1,12,643,265
11,1,103,-251
11,2,-421,-251
11,3,-262,-251
11,4,-450,-251
11,5,-526,-251
11,6,-561,-251
11,7,-600,-251
11,8,-587,-251
11,9,-770,-251
11,10,-722,-251
11,11,-856,-251
11,12,-784,-251
1,1,68,-117
1,2,-120,-117
1,3,-71,-117
1,4,59,-117
1,5,-89,-117
1,6,77,-117
1,7,61,-117
1,8,169,-117
1,9,-28,-117
1,10,274,-117
1,11,169,-117
1,12,439,-117
4,1,3553,3590
4,2,3659,3590
4,3,3664,3590
4,4,3694,3590
4,5,3826,3590
4,6,3731,3590
4,7,3640,3590
4,8,3597,3590
4,9,3356,3590
4,10,3314,3590
4,11,3193,3590
4,12,3136,3590
7,1,3367,2578
7,2,2689,2578
7,3,2968,2578
7,4,2723,2578
7,5,2704,2578
7,6,2559,2578
7,7,2535,2578
7,8,2763,2578
7,9,2530,2578
7,10,2650,2578
7,11,2832,2578
7,12,2795,2578
1,1,-130,-126
1,2,-196,-126
1,3,-172,-126
1,4,-13,-126
1,5,-216,-126
1,6,-286,-126
1,7,-142,-126
1,8,-118,-126
1,9,-448,-126
1,10,-306,-126
1,11,-355,-126
1,12,-90,-126
8,1,-93,-401
8,2,-690,-401
8,3,-500,-401
8,4,-199,-401
8,5,-42,-401
8,6,-54,-401
8,7,274,-401
8,8,298,-401
8,9,184,-401
8,10,543,-401
8,11,416,-401
8,12,566,-401
9,1,1458,-239
9,2,862,-239
9,3,1112,-239
9,4,744,-239
9,5,1093,-239
9,6,954,-239
9,7,854,-239
9,8,756,-239
9,9,632,-239
9,10,779,-239
9,11,881,-239
9,12,669,-239
6,1,-2613,-2984
6,2,-3017,-2984
6,3,-2774,-2984
6,4,-2915,-2984
6,5,-2624,-2984
6,6,-2794,-2984
6,7,-2756,-2984
6,8,-2965,-2984
6,9,-2764,-2984
6,10,-2795,-2984
6,11,-2646,-2984
6,12,-2609,-2984
2,1,208,300
2,2,215,300
2,3,99,300
2,4,415,300
2,5,-5,300
2,6,100,300
2,7,-13,300
2,8,20,300
2,9,-327,300
2,10,-99,300
2,11,-86,300
2,12,126,300
11,1,-847,-1154
11,2,-1159,-1154
11,3,-872,-1154
11,4,-1028,-1154
11,5,-838,-1154
11,6,-998,-1154
11,7,-529,-1154
11,8,-519,-1154
11,9,-921,-1154
11,10,-794,-1154
11,11,-814,-1154
11,12,-839,-1154
9,1,-90,-559
9,2,-807,-559
9,3,-152,-559
9,4,-157,-559
9,5,250,-559
9,6,35,-559
9,7,357,-559
9,8,221,-559
9,9,249,-559
9,10,227,-559
9,11,190,-559
9,12,521,-559
8,1,867,1181
8,2,793,1181
8,3,588,1181
8,4,962,1181
8,5,876,1181
8,6,933,1181
8,7,833,1181
8,8,1047,1181
8,9,892,1181
8,10,1327,1181
8,11,1238,1181
8,12,1219,1181
11,1,3941,3750
11,2,3927,3750
11,3,4400,3750
11,4,4386,3750
11,5,4136,3750
11,6,3846,3750
11,7,3739,3750
11,8,4452,3750
11,9,4036,3750
11,10,4326,3750
11,11,4277,3750
11,12,4388,3750
12,1,1902,1972
12,2,1651,1972
12,3,1682,1972
12,4,1868,1972
12,5,1595,1972
12,6,1556,1972
12,7,1563,1972
12,8,1541,1972
12,9,1187,1972
12,10,1342,1972
12,11,1200,1972
12,12,1200,1972
1,1,426,189
1,2,193,189
1,3,178,189
1,4,474,189
1,5,472,189
1,6,742,189
1,7,699,189
1,8,842,189
1,9,755,189
1,10,927,189
1,11,782,189
1,12,972,189
9,1,3251,2943
9,2,3623,2943
9,3,3467,2943
9,4,3406,2943
9,5,3528,2943
9,6,3327,2943
9,7,3760,2943
9,8,3753,2943
9,9,3556,2943
9,10,3728,2943
9,11,4000,2943
9,12,3957,2943
11,1,1395,1343
11,2,1588,1343
11,3,1496,1343
11,4,1472,1343
11,5,1557,1343
11,6,1722,1343
11,7,2051,1343
11,8,1858,1343
11,9,1882,1343
11,10,1822,1343
11,11,2105,1343
11,12,2415,1343
8,1,2258,2149
8,2,1977,2149
8,3,2714,2149
8,4,1892,2149
8,5,2543,2149
8,6,1930,2149
8,7,2155,2149
8,8,2325,2149
8,9,2271,2149
8,10,3131,2149
8,11,2536,2149
8,12,3119,2149
7,1,-326,-528
7,2,-499,-528
7,3,-748,-528
7,4,-109,-528
7,5,-144,-528
7,6,-226,-528
7,7,-176,-528
7,8,-195,-528
7,9,-159,-528
7,10,-222,-528
7,11,-35,-528
7,12,-164,-528
3,1,-2902,-2977
3,2,-2814,-2977
3,3,-2619,-2977
3,4,-2603,-2977
3,5,-2562,-2977
3,6,-2295,-2977
3,7,-2612,-2977
3,8,-2275,-2977
3,9,-2389,-2977
3,10,-2514,-2977
3,11,-2491,-2977
3,12,-2472,-2977
4,1,-2201,-2364
4,2,-1913,-2364
4,3,-2246,-2364
4,4,-2035,-2364
4,5,-1858,-2364
4,6,-1514,-2364
4,7,-1572,-2364
4,8,-1516,-2364
4,9,-1332,-2364
4,10,-1196,-2364
4,11,-1189,-2364
4,12,-1193,-2364
2,1,866,818
2,2,1198,818
2,3,1127,818
2,4,653,818
2,5,884,818
2,6,708,818
2,7,1017,818
2,8,598,818
2,9,457,818
2,10,847,818
2,11,902,818
2,12,1041,818
8,1,-3051,-2972
8,2,-3274,-2972
8,3,-3057,-2972
8,4,-3092,-2972
8,5,-3003,-2972
8,6,-2980,-2972
8,7,-2770,-2972
8,8,-2708,-2972
8,9,-2439,-2972
8,10,-2602,-2972
8,11,-2368,-2972
8,12,-2360,-2972
7,1,-2766,-2912
7,2,-3209,-2912
7,3,-2858,-2912
7,4,-2878,-2912
7,5,-3073,-2912
7,6,-3173,-2912
7,7,-2666,-2912
7,8,-2706,-2912
7,9,-2668,-2912
7,10,-2591,-2912
7,11,-2614,-2912
7,12,-2648,-2912
10,1,587,150
10,2,-106,150
10,3,-312,150
10,4,-519,150
10,5,-646,150
10,6,-610,150
10,7,-585,150
10,8,-643,150
10,9,-666,150
10,10,-1171,150
10,11,-988,150
10,12,-1357,150
7,1,-2986,-4063
7,2,-3494,-4063
7,3,-3141,-4063
7,4,-3445,-4063
7,5,-3153,-4063
7,6,-3238,-4063
7,7,-2755,-4063
7,8,-2853,-4063
7,9,-2835,-4063
7,10,-2634,-4063
7,11,-2821,-4063
7,12,-2729,-4063
7,1,-558,-923
7,2,-1398,-923
7,3,-1612,-923
7,4,-1406,-923
7,5,-1736,-923
7,6,-1865,-923
7,7,-1780,-923
7,8,-1887,-923
7,9,-1791,-923
7,10,-1917,-923
7,11,-1895,-923
7,12,-1867,-923
5,1,2751,1641
5,2,2883,1641
5,3,3402,1641
5,4,3449,1641
5,5,3128,1641
5,6,3054,1641
5,7,2996,1641
5,8,2766,1641
5,9,2672,1641
5,10,2769,1641
5,11,2644,1641
5,12,2717,1641
7,1,892,921
7,2,149,921
7,3,581,921
7,4,803,921
7,5,854,921
7,6,714,921
7,7,797,921
7,8,680,921
7,9,591,921
7,10,594,921
7,11,539,921
7,12,463,921
4,1,3081,2760
4,2,2703,2760
4,3,3017,2760
4,4,2978,2760
4,5,2912,2760
4,6,2797,2760
4,7,2901,2760
4,8,2819,2760
4,9,2946,2760
4,10,2954,2760
4,11,2670,2760
4,12,2629,2760
2,1,1085,263
2,2,1017,263
2,3,863,263
2,4,657,263
2,5,549,263
2,6,415,263
2,7,506,263
2,8,801,263
2,9,858,263
2,10,989,263
2,11,1009,263
2,12,989,263
11,1,-3520,-3546
11,2,-3737,-3546
11,3,-4028,-3546
11,4,-4146,-3546
11,5,-4285,-3546
11,6,-3742,-3546
11,7,-3813,-3546
11,8,-3949,-3546
11,9,-4109,-3546
11,10,-4548,-3546
11,11,-4315,-3546
11,12,-4800,-3546
4,1,478,287
4,2,119,287
4,3,34,287
4,4,48,287
4,5,-167,287
4,6,-295,287
4,7,-198,287
4,8,-210,287
4,9,-152,287
4,10,-158,287
4,11,-153,287
4,12,-69,287
4,1,-733,-903
4,2,-1014,-903
4,3,-917,-903
4,4,-1043,-903
4,5,-1189,-903
4,6,-1204,-903
4,7,-1188,-903
4,8,-1258,-903
4,9,-1448,-903
4,10,-1429,-903
4,11,-1477,-903
4,12,-1385,-903
11,1,-512,-788
11,2,-915,-788
11,3,-773,-788
11,4,-790,-788
11,5,-484,-788
11,6,-761,-788
11,7,-917,-788
11,8,-924,-788
11,9,-890,-788
11,10,-799,-788
11,11,-725,-788
11,12,-676,-788
4,1,-2631,-2741
4,2,-2940,-2741
4,3,-2470,-2741
4,4,-2349,-2741
4,5,-1937,-2741
4,6,-2133,-2741
4,7,-2063,-2741
4,8,-2108,-2741
4,9,-2608,-2741
4,10,-2821,-2741
4,11,-2423,-2741
4,12,-2411,-2741
4,1,2923,3204
4,2,2420,3204
4,3,2527,3204
4,4,2325,3204
4,5,2406,3204
4,6,2254,3204
4,7,2164,3204
4,8,2422,3204
4,9,2205,3204
4,10,2340,3204
4,11,2315,3204
4,12,2491,3204
1,1,-37,-635
1,2,159,-635
1,3,422,-635
1,4,407,-635
1,5,520,-635
1,6,513,-635
1,7,454,-635
1,8,251,-635
1,9,159,-635
1,10,370,-635
1,11,379,-635
1,12,511,-635
10,1,-256,-927
10,2,-1888,-927
10,3,-1219,-927
10,4,-1384,-927
10,5,-1403,-927
10,6,-1143,-927
10,7,-2212,-927
10,8,-2160,-927
10,9,-2315,-927
10,10,-2287,-927
10,11,-2021,-927
10,12,-2113,-927
11,1,2697,2104
11,2,2487,2104
11,3,2323,2104
11,4,2671,2104
11,5,3298,2104
11,6,3188,2104
11,7,3273,2104
11,8,3057,2104
11,9,3651,2104
11,10,3209,2104
11,11,3000,2104
11,12,3000,2104
10,1,-690,-794
10,2,-945,-794
10,3,-594,-794
10,4,-438,-794
10,5,71,-794
10,6,300,-794
10,7,415,-794
10,8,709,-794
10,9,436,-794
10,10,531,-794
10,11,1016,-794
10,12,1022,-794
5,1,-539,-498
5,2,-730,-498
5,3,-744,-498
5,4,-695,-498
5,5,-813,-498
5,6,-804,-498
5,7,-782,-498
5,8,-833,-498
5,9,-658,-498
5,10,-857,-498
5,11,-474,-498
5,12,-683,-498
12,1,1451,731
12,2,1233,731
12,3,1506,731
12,4,1102,731
12,5,1387,731
12,6,1278,731
12,7,1219,731
12,8,1255,731
12,9,1237,731
12,10,986,731
12,11,1226,731
12,12,1000,731
7,1,162,-958
7,2,-127,-958
7,3,-22,-958
7,4,-316,-958
7,5,40,-958
7,6,110,-958
7,7,421,-958
7,8,484,-958
7,9,431,-958
7,10,502,-958
7,11,570,-958
7,12,563,-958
3,1,-219,-364
3,2,554,-364
3,3,393,-364
3,4,727,-364
3,5,412,-364
3,6,869,-364
3,7,937,-364
3,8,1077,-364
3,9,940,-364
3,10,1034,-364
3,11,898,-364
3,12,1034,-364
1,1,-140,-256
1,2,160,-256
1,3,246,-256
1,4,389,-256
1,5,237,-256
1,6,334,-256
1,7,356,-256
1,8,278,-256
1,9,267,-256
1,10,465,-256
1,11,417,-256
1,12,434,-256
5,1,3599,3102
5,2,3735,3102
5,3,3887,3102
5,4,3903,3102
5,5,4090,3102
5,6,4149,3102
5,7,3747,3102
5,8,3907,3102
5,9,3901,3102
5,10,3712,3102
5,11,3830,3102
5,12,3983,3102
5,1,631,745
5,2,347,745
5,3,91,745
5,4,127,745
5,5,186,745
5,6,102,745
5,7,-48,745
5,8,96,745
5,9,263,745
5,10,172,745
5,11,97,745
5,12,307,745
4,1,-708,93
4,2,-135,93
4,3,-391,93
4,4,250,93
4,5,308,93
4,6,110,93
4,7,374,93
4,8,132,93
4,9,-45,93
4,10,51,93
4,11,-138,93
4,12,84,93
5,1,-1278,-1200
5,2,-1594,-1200
5,3,-1353,-1200
5,4,-1228,-1200
5,5,-1154,-1200
5,6,-1124,-1200
5,7,-1216,-1200
5,8,-872,-1200
5,9,-910,-1200
5,10,-943,-1200
5,11,-992,-1200
5,12,-991,-1200
5,1,3396,3497
5,2,3164,3497
5,3,3370,3497
5,4,3230,3497
5,5,3232,3497
5,6,3149,3497
5,7,2993,3497
5,8,3481,3497
5,9,3053,3497
5,10,3229,3497
5,11,3194,3497
5,12,3427,3497
8,1,900,586
8,2,855,586
8,3,758,586
8,4,942,586
8,5,853,586
8,6,845,586
8,7,713,586
8,8,636,586
8,9,614,586
8,10,526,586
8,11,476,586
8,12,373,586
10,1,3338,3333
10,2,2681,3333
10,3,2854,3333
10,4,2824,3333
10,5,2908,3333
10,6,2791,3333
10,7,2990,3333
10,8,2905,3333
10,9,3007,3333
10,10,3506,3333
10,11,3191,3333
10,12,3160,3333
2,1,488,1042
2,2,698,1042
2,3,617,1042
2,4,778,1042
2,5,581,1042
2,6,464,1042
2,7,358,1042
2,8,579,1042
2,9,568,1042
2,10,589,1042
2,11,453,1042
2,12,444,1042
6,1,-1532,-1761
6,2,-1711,-1761
6,3,-1761,-1761
6,4,-1715,-1761
6,5,-1548,-1761
6,6,-1557,-1761
6,7,-1557,-1761
6,8,-1396,-1761
6,9,-1569,-1761
6,10,-1567,-1761
6,11,-1453,-1761
6,12,-1562,-1761
9,1,4028,3672
9,2,3087,3672
9,3,3024,3672
9,4,2868,3672
9,5,2962,3672
9,6,3457,3672
9,7,3487,3672
9,8,3136,3672
9,9,3055,3672
9,10,3488,3672
9,11,3562,3672
9,12,3638,3672
4,1,-1017,-839
4,2,-1128,-839
4,3,-1318,-839
4,4,-1424,-839
4,5,-1327,-839
4,6,-1230,-839
4,7,-1524,-839
4,8,-1107,-839
4,9,-1271,-839
4,10,-1280,-839
4,11,-1241,-839
4,12,-1521,-839
4,1,-1484,-1429
4,2,-1406,-1429
4,3,-1391,-1429
4,4,-1187,-1429
4,5,-1297,-1429
4,6,-795,-1429
4,7,-759,-1429
4,8,-522,-1429
4,9,-478,-1429
4,10,-235,-1429
4,11,-214,-1429
4,12,-397,-1429
7,1,699,458
7,2,908,458
7,3,1326,458
7,4,1178,458
7,5,1294,458
7,6,1260,458
7,7,1261,458
7,8,1245,458
7,9,1201,458
7,10,937,458
7,11,852,458
7,12,1029,458
6,1,1762,1262
6,2,1213,1262
6,3,1242,1262
6,4,1355,1262
6,5,1185,1262
6,6,1384,1262
6,7,1313,1262
6,8,1458,1262
6,9,1225,1262
6,10,1420,1262
6,11,1199,1262
6,12,1211,1262
8,1,257,-339
8,2,-446,-339
8,3,346,-339
8,4,-535,-339
8,5,209,-339
8,6,41,-339
8,7,-59,-339
8,8,-330,-339
8,9,-219,-339
8,10,-304,-339
8,11,-541,-339
8,12,-543,-339
10,1,-2687,-3243
10,2,-3134,-3243
10,3,-3106,-3243
10,4,-2848,-3243
10,5,-3046,-3243
10,6,-3280,-3243
10,7,-3215,-3243
10,8,-3126,-3243
10,9,-3483,-3243
10,10,-3474,-3243
10,11,-3737,-3243
10,12,-3685,-3243
1,1,100,-575
1,2,-151,-575
1,3,-29,-575
1,4,130,-575
1,5,127,-575
1,6,150,-575
1,7,-47,-575
1,8,50,-575
1,9,-59,-575
1,10,49,-575
1,11,-52,-575
1,12,127,-575
7,1,960,603
7,2,299,603
7,3,266,603
7,4,271,603
7,5,605,603
7,6,517,603
7,7,301,603
7,8,164,603
7,9,654,603
7,10,665,603
7,11,620,603
7,12,376,603
8,1,3828,3357
8,2,3238,3357
8,3,3582,3357
8,4,3093,3357
8,5,3456,3357
8,6,3727,3357
8,7,3543,3357
8,8,3496,3357
8,9,3521,3357
8,10,3544,3357
8,11,3778,3357
8,12,3927,3357
1,1,-728,-818
1,2,-659,-818
1,3,-511,-818
1,4,-113,-818
1,5,-217,-818
1,6,-401,-818
1,7,-393,-818
1,8,-84,-818
1,9,-185,-818
1,10,81,-818
1,11,-1,-818
1,12,362,-818
3,1,4514,4794
3,2,4426,4794
3,3,4141,4794
3,4,4167,4794
3,5,3796,4794
3,6,3930,4794
3,7,3624,4794
3,8,3562,4794
3,9,3449,4794
3,10,3476,4794
3,11,3328,4794
3,12,3419,4794
6,1,2094,-221
6,2,1989,-221
6,3,1860,-221
6,4,2205,-221
6,5,2213,-221
6,6,2412,-221
6,7,2616,-221
6,8,2618,-221
6,9,2834,-221
6,10,2731,-221
6,11,3178,-221
6,12,3302,-221
5,1,2859,2810
5,2,3058,2810
5,3,3297,2810
5,4,3092,2810
5,5,3039,2810
5,6,2963,2810
5,7,3012,2810
5,8,3057,2810
5,9,2916,2810
5,10,2996,2810
5,11,2834,2810
5,12,2929,2810
8,1,1064,730
8,2,653,730
8,3,1206,730
8,4,817,730
8,5,539,730
8,6,428,730
8,7,415,730
8,8,544,730
8,9,530,730
8,10,519,730
8,11,716,730
8,12,401,730
4,1,980,1205
4,2,1028,1205
4,3,1010,1205
4,4,1040,1205
4,5,727,1205
4,6,868,1205
4,7,424,1205
4,8,544,1205
4,9,593,1205
4,10,581,1205
4,11,589,1205
4,12,643,1205
1,1,2248,1797
1,2,1987,1797
1,3,2242,1797
1,4,2010,1797
1,5,1920,1797
1,6,2122,1797
1,7,1808,1797
1,8,1487,1797
1,9,1432,1797
1,10,1620,1797
1,11,1492,1797
1,12,1543,1797
3,1,1834,1598
3,2,1696,1598
3,3,1527,1598
3,4,1632,1598
3,5,1756,1598
3,6,1534,1598
3,7,1381,1598
3,8,1476,1598
3,9,1450,1598
3,10,1644,1598
3,11,1514,1598
3,12,1435,1598
10,1,1311,480
10,2,1181,480
10,3,1840,480
10,4,1365,480
10,5,1627,480
10,6,1673,480
10,7,1703,480
10,8,1671,480
10,9,1511,480
10,10,1601,480
10,11,1554,480
10,12,1299,480
5,1,662,749
5,2,734,749
5,3,468,749
5,4,788,749
5,5,626,749
5,6,942,749
5,7,818,749
5,8,886,749
5,9,992,749
5,10,886,749
5,11,639,749
5,12,935,749
2,1,-2705,-2332
2,2,-2406,-2332
2,3,-2450,-2332
2,4,-2382,-2332
2,5,-2513,-2332
2,6,-2551,-2332
2,7,-2266,-2332
2,8,-2406,-2332
2,9,-2392,-2332
2,10,-2463,-2332
2,11,-2590,-2332
2,12,-2599,-2332
3,1,556,920
3,2,875,920
3,3,559,920
3,4,838,920
3,5,1304,920
3,6,1478,920
3,7,1469,920
3,8,1678,920
3,9,1841,920
3,10,1895,920
3,11,1947,920
3,12,1931,920
5,1,2225,1557
5,2,1611,1557
5,3,1651,1557
5,4,1487,1557
5,5,1239,1557
5,6,1081,1557
5,7,936,1557
5,8,869,1557
5,9,923,1557
5,10,997,1557
5,11,825,1557
5,12,984,1557
8,1,-45,-420
8,2,-45,-420
8,3,565,-420
8,4,-48,-420
8,5,85,-420
8,6,-459,-420
8,7,-474,-420
8,8,-252,-420
8,9,-484,-420
8,10,-69,-420
8,11,-528,-420
8,12,-9,-420
9,1,719,64
9,2,867,64
9,3,1285,64
9,4,1406,64
9,5,1378,64
9,6,1313,64
9,7,1249,64
9,8,1401,64
9,9,1365,64
9,10,1559,64
9,11,1529,64
9,12,1308,64
9,1,1088,880
9,2,649,880
9,3,975,880
9,4,751,880
9,5,794,880
9,6,731,880
9,7,747,880
9,8,825,880
9,9,1062,880
9,10,852,880
9,11,1311,880
9,12,1485,880
7,1,679,-122
7,2,317,-122
7,3,528,-122
7,4,456,-122
7,5,369,-122
7,6,121,-122
7,7,229,-122
7,8,236,-122
7,9,229,-122
7,10,634,-122
7,11,650,-122
7,12,708,-122
10,1,241,-445
10,2,-383,-445
10,3,-276,-445
10,4,-306,-445
10,5,-234,-445
10,6,-309,-445
10,7,-227,-445
10,8,-184,-445
10,9,-352,-445
10,10,-193,-445
10,11,-75,-445
10,12,167,-445
5,1,1078,743
5,2,910,743
5,3,957,743
5,4,693,743
5,5,1012,743
5,6,742,743
5,7,710,743
5,8,458,743
5,9,665,743
5,10,804,743
5,11,572,743
5,12,428,743
8,1,197,-821
8,2,-513,-821
8,3,-85,-821
8,4,4,-821
8,5,-40,-821
8,6,37,-821
8,7,124,-821
8,8,-42,-821
8,9,-157,-821
8,10,-296,-821
8,11,-212,-821
8,12,-417,-821
1,1,-149,-75
1,2,-358,-75
1,3,-296,-75
1,4,-79,-75
1,5,-229,-75
1,6,176,-75
1,7,83,-75
1,8,194,-75
1,9,136,-75
1,10,146,-75
1,11,183,-75
1,12,215,-75
11,1,-43,-361
11,2,-684,-361
11,3,-548,-361
11,4,-699,-361
11,5,-808,-361
11,6,-944,-361
11,7,158,-361
11,8,-592,-361
11,9,-119,-361
11,10,-332,-361
11,11,-548,-361
11,12,-583,-361
11,1,2825,988
11,2,2399,988
11,3,2728,988
11,4,3396,988
11,5,3373,988
11,6,3452,988
11,7,3657,988
11,8,3691,988
11,9,3312,988
11,10,3511,988
11,11,3319,988
11,12,3600,988
6,1,786,731
6,2,733,731
6,3,879,731
6,4,938,731
6,5,1101,731
6,6,870,731
6,7,908,731
6,8,865,731
6,9,954,731
6,10,700,731
6,11,634,731
6,12,365,731
2,1,-912,-872
2,2,-534,-872
2,3,-620,-872
2,4,-339,-872
2,5,-694,-872
2,6,-360,-872
2,7,-563,-872
2,8,-553,-872
2,9,-644,-872
2,10,-263,-872
2,11,-381,-872
2,12,-189,-872
9,1,2429,2273
9,2,2276,2273
9,3,2543,2273
9,4,2733,2273
9,5,2511,2273
9,6,2400,2273
9,7,2623,2273
9,8,2685,2273
9,9,2708,2273
9,10,1916,2273
9,11,2029,2273
9,12,1747,2273
3,1,1143,1407
3,2,1484,1407
3,3,1005,1407
3,4,1316,1407
3,5,985,1407
3,6,1041,1407
3,7,804,1407
3,8,790,1407
3,9,607,1407
3,10,671,1407
3,11,592,1407
3,12,677,1407
6,1,3168,3300
6,2,2882,3300
6,3,3158,3300
6,4,3084,3300
6,5,3311,3300
6,6,2788,3300
6,7,2905,3300
6,8,3042,3300
6,9,2766,3300
6,10,2596,3300
6,11,2637,3300
6,12,2537,3300
6,1,707,277
6,2,359,277
6,3,689,277
6,4,757,277
6,5,553,277
6,6,278,277
6,7,260,277
6,8,265,277
6,9,125,277
6,10,43,277
6,11,33,277
6,12,87,277
4,1,3420,2987
4,2,2876,2987
4,3,3259,2987
4,4,3173,2987
4,5,3159,2987
4,6,2889,2987
4,7,3237,2987
4,8,3211,2987
4,9,3110,2987
4,10,3109,2987
