islay 0.1.0 - Othello/Reversi engine (movegen backend: hybrid (int+NEON))
type 'uci', 'go perft <depth> [nocache]', 'd', 'test', or 'quit'
info string pattern weights loaded: weights/v12.pat (v3, 15 stages x 167332)
info string option EvalFile = weights/v12.pat
stage,depth,score,standpat
3,8,3554,3572
3,9,3510,3572
3,10,3522,3572
3,11,3488,3572
3,12,3484,3572
3,1,-211,-461
3,2,-639,-461
3,3,-391,-461
3,4,-344,-461
3,5,-451,-461
3,6,-538,-461
3,7,-596,-461
3,8,-658,-461
3,9,-860,-461
3,10,-736,-461
3,11,-665,-461
3,12,-777,-461
1,1,1759,1255
1,2,1681,1255
1,3,2199,1255
1,4,2325,1255
1,5,2537,1255
1,6,2409,1255
1,7,2373,1255
1,8,2446,1255
1,9,2346,1255
1,10,2490,1255
1,11,2639,1255
1,12,2695,1255
3,1,-39,-206
3,2,-215,-206
3,3,-167,-206
3,4,-133,-206
3,5,13,-206
3,6,149,-206
3,7,-740,-206
3,8,78,-206
3,9,17,-206
3,10,-168,-206
3,11,-368,-206
3,12,-392,-206
9,1,2226,-214
9,2,2110,-214
9,3,2314,-214
9,4,1760,-214
9,5,2137,-214
9,6,1996,-214
9,7,2180,-214
9,8,2319,-214
9,9,2462,-214
9,10,2477,-214
9,11,2462,-214
9,12,2882,-214
7,1,628,284
7,2,510,284
7,3,789,284
7,4,933,284
7,5,1085,284
7,6,965,284
7,7,1068,284
7,8,1124,284
7,9,1031,284
7,10,943,284
7,11,1051,284
7,12,889,284
9,1,3877,3232
9,2,3700,3232
9,3,3751,3232
9,4,3619,3232
9,5,3824,3232
9,6,3696,3232
9,7,4016,3232
9,8,3872,3232
9,9,4157,3232
9,10,3989,3232
9,11,3979,3232
9,12,4252,3232
10,1,1740,1800
10,2,1565,1800
10,3,1526,1800
10,4,1688,1800
10,5,1773,1800
10,6,1884,1800
10,7,1867,1800
10,8,1888,1800
10,9,2034,1800
10,10,1997,1800
10,11,2139,1800
10,12,2140,1800
8,1,3405,3450
8,2,2638,3450
8,3,2370,3450
8,4,2099,3450
8,5,2226,3450
8,6,2384,3450
8,7,2849,3450
8,8,2806,3450
8,9,3104,3450
8,10,2834,3450
8,11,2864,3450
8,12,3113,3450
7,1,2169,2319
7,2,1810,2319
7,3,1694,2319
7,4,1591,2319
7,5,1514,2319
7,6,1159,2319
7,7,1257,2319
7,8,1211,2319
7,9,928,2319
7,10,739,2319
7,11,865,2319
7,12,607,2319
8,1,-192,-850
8,2,-1134,-850
8,3,-1286,-850
8,4,-1613,-850
8,5,-1910,-850
8,6,-1814,-850
8,7,-2062,-850
8,8,-1981,-850
8,9,-2223,-850
8,10,-2098,-850
8,11,-2089,-850
8,12,-1964,-850
2,1,-2237,-2445
2,2,-1906,-2445
2,3,-2221,-2445
2,4,-2232,-2445
2,5,-2224,-2445
2,6,-1862,-2445
2,7,-1937,-2445
